Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
228,629,V,IllinoisState,38,32,70,139,139.5,285,76.5
228,630,H,Creighton,45,29,74,8,7.5,-345,3
228,631,V,ULLafayette,30,30,60,130.5,130.5,295,71
228,632,H,ArkansasLR,39,28,67,8.5,7.5,-355,3
228,633,V,Drake,29,31,75,126,128.5,220,68.5
228,634,H,Bradley,28,32,77,6,6,-260,4.5
228,635,V,YoungstownState,24,35,59,128.5,129,210,67
228,636,H,Valparaiso,20,47,67,5.5,5.5,-250,5
228,637,V,Towson,29,30,59,130.5,130.5,1000,70
228,638,H,GeorgeMason,35,36,71,14.5,14.5,-1500,7
228,639,V,ArkansasState,32,31,63,132.5,134,-110,71.5
228,640,H,ULMonroe,33,31,64,1.5,pk,-110,pk
228,641,V,Pittsburgh,36,53,89,10,10,-600,5
228,642,H,SetonHall,31,47,78,145.5,145.5,450,77
228,643,V,SanDiegoState,30,39,79,4.5,4,-185,0.5
228,644,H,TCU,25,44,77,121,122.5,160,66.5
228,645,V,SouthAlabama,29,29,58,152,150,120,0.5
228,646,H,Troy,36,27,63,4,2.5,-140,78
228,647,V,BoiseState,27,35,62,130.5,133,145,70.5
228,648,H,LouisianaTech,29,47,76,3.5,3.5,-165,1.5
228,649,V,UCLA,32,40,72,2.5,2.5,-145,3
228,650,H,California,34,34,68,148,148.5,125,77.5
228,651,V,NewMexico,30,32,81,8.5,8.5,-400,2.5
228,652,H,ColoradoState,23,39,79,141,141,325,73
228,653,V,SouthCarolina,27,56,83,144.5,144,115,1
228,654,H,Vanderbilt,47,49,96,1,2,-135,33.5
228,655,V,IdahoU,40,31,71,130.5,130.5,135,72.5
228,656,H,FresnoState,37,31,68,2.5,3,-155,4
228,657,V,Hawaii,31,28,59,131.5,133,230,72
228,658,H,SanJoseState,31,30,61,6.5,6,-270,4
228,659,V,UCDavis,32,32,64,143.5,140.5,245,74
228,660,H,CalSantaBarb,28,38,66,5.5,6.5,-290,5.5
228,661,V,Pacific,36,30,66,5.5,6,-260,2
228,662,H,CalPolySLO,31,27,58,128,128.5,220,70
228,663,V,UtahState,32,39,71,131.5,1,-120,4
228,664,H,Nevada,47,37,84,pk,131,100,71.5
228,665,V,ArizonaState,23,20,49,1,1,-120,62.5
228,666,H,WashingtonState,20,23,51,111,112,100,0.5
228,667,V,CalRiverside,24,38,72,122,122,155,66.5
228,668,H,CalIrvine,29,33,78,3.5,4,-175,0.5
228,669,V,Elon,26,40,66,131,129.5,-110,0.5
228,670,H,NCGreensboro,25,49,74,pk,pk,-110,68
228,671,V,GeorgiaSouthern,24,32,56,148.5,149,2750,77
